tic_id,hostname,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_teff,st_tefferr1,st_tefferr2,sy_dist,pl_letter,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassprov,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,tran_flag,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2
"TIC 271262203","Kepler-54",0.554000,0.021000,-0.021000,0.518000,0.013000,-0.013000,4252.00,100.00,-100.00,271.70100000,"d",20.99569400000,0.00014300000,-0.00014300000,1.53000000,0.08000000,-0.08000000,12.09460000,,,"Mass",89.79000,,,0.000000,,,1,2454985.31995000,0.00390000,-0.00390000
"TIC 405719252","Kepler-1001",0.880000,0.094000,-0.056000,0.900000,0.043000,-0.045000,5491.00,66.16,-68.91,928.97800000,"b",14.30511983000,0.00004340000,-0.00004340000,3.15000000,0.34000000,-0.48000000,10.10000000,,,"M-R relationship",85.25000,,,0.000000,,,1,2454968.06626000,0.00255000,-0.00255000
"TIC 158626833","Kepler-192",1.007000,0.164000,-0.164000,1.028000,0.034000,-0.032000,5479.00,100.00,-100.00,651.67400000,"b",9.92674600000,0.00001800000,-0.00001800000,2.74000000,0.45000000,-0.45000000,7.95000000,,,"M-R relationship",87.77000,,,0.000000,,,1,2455008.68501000,0.00102000,-0.00102000
"TIC 158489841","Kepler-1075",0.540000,0.024000,-0.025000,0.560000,0.030000,-0.029000,3959.00,39.29,-38.69,291.27500000,"b",1.52372816000,0.00000270500,-0.00000270500,1.42000000,0.16000000,-0.33000000,2.60000000,,,"M-R relationship",73.31000,,,0.000000,,,1,2454964.61924000,0.00147000,-0.00147000
"TIC 48777312","HD 190647",1.376000,0.089000,-0.089000,1.069000,0.027000,-0.027000,5656.00,60.00,-60.00,54.47380000,"b",1176.45000000000,3.10000000000,-2.83000000000,13.40000000,,,630.89255000,10.48839000,-10.48839000,"Msini",,,,0.224000,0.014000,-0.014000,0,,,
"TIC 158386680","Kepler-1376",0.970000,0.183000,-0.073000,0.980000,0.045000,-0.045000,5659.00,64.10,-77.43,868.05600000,"b",5.30880656000,0.00004525000,-0.00004525000,1.05000000,0.21000000,-0.09000000,1.16000000,,,"M-R relationship",89.26000,,,0.000000,,,1,2454967.24408000,0.00636000,-0.00636000
"TIC 164881786","Kepler-127",1.359000,0.035000,-0.035000,1.248000,0.014000,-0.022000,6106.00,106.00,-106.00,352.79400000,"b",14.43588900000,0.00006300000,-0.00006300000,1.40000000,0.05000000,-0.05000000,2.54000000,,,"M-R relationship",88.65000,,,0.470000,0.060000,-0.390000,1,2454974.51140000,0.00246000,-0.00246000
"TIC 110999033","K2-247",0.690000,0.020000,-0.010000,0.740000,0.030000,-0.030000,4667.00,305.00,-183.00,258.11300000,"c",6.49424000000,0.00260000000,-0.00251000000,2.19000000,0.25000000,-0.23000000,5.43000000,,,"M-R relationship",,,,,,,1,2457588.13690000,0.01760000,-0.01630000
"TIC 270857590","Kepler-1917",0.788000,0.176000,-0.070000,0.882000,0.083000,-0.102000,5530.00,166.00,-166.00,909.03700000,"b",12.90240002000,,,1.88971288,,,4.23000000,,,"M-R relationship",89.42000,,,0.000000,,,1,2454972.15105000,0.00530000,-0.00530000
"TIC 158322622","Kepler-1146",0.700000,0.023000,-0.040000,0.740000,0.031000,-0.039000,4692.00,45.94,-42.25,703.03800000,"b",2.35226579700,0.00000825500,-0.00000825500,1.23000000,0.10000000,-0.08000000,2.04000000,,,"M-R relationship",89.48000,,,0.000000,,,1,2454964.80405000,0.00273000,-0.00273000
